flyer_id,arrival_ts,enter_checkin_ts,exit_checkin_ts,enter_bags_ts,exit_bags_ts,enter_tsa_ts,exit_tsa_ts,enter_food_ts,exit_food_ts,exit_airport
1,7.274545854367558,7.274545854367558,7.495074679755924,7.495074679755924,8.397219534742776,8.397219534742776,12.028996727353311,,,27.031818402931595
2,9.979096289070053,9.979096289070053,10.199392591686912,10.199392591686912,12.112744756103453,12.112744756103453,16.347323336793366,16.347323336793366,17.712960072718396,32.298441208898794
3,11.798108632323892,11.798108632323892,12.017527569542793,12.017527569542793,13.71336361876013,13.71336361876013,17.87073107637722,17.87073107637722,18.348663042113806,33.424901965290886
5,17.65283207625708,17.65283207625708,17.950989936950897,17.950989936950897,18.47999358968275,18.47999358968275,22.23800271797061,,,38.00584509581952
4,17.342572944174133,17.342572944174133,17.591994802305383,17.591994802305383,18.65658150170246,18.65658150170246,23.45680350924281,23.45680350924281,24.67360663837345,38.609954351548105
6,28.417387616613453,28.417387616613453,28.633688386665707,28.633688386665707,29.72670689250222,29.72670689250222,33.98581542596415,33.98581542596415,34.899208651743685,49.20341710985482
7,37.57644605300466,37.57644605300466,37.87836218056394,37.87836218056394,38.14459915519888,38.14459915519888,42.13581180289267,,,58.131471001587286
8,47.98010149657354,47.98010149657354,48.129540821403275,48.129540821403275,48.747557384329326,48.747557384329326,52.65245096858594,52.65245096858594,53.66277992209849,68.68924494557331
9,54.47441649668218,54.47441649668218,54.745399009871484,54.745399009871484,55.32923267303638,55.32923267303638,59.493212034858004,59.493212034858004,60.61677509934629,74.51498421296422
10,57.536945800325626,57.536945800325626,57.77557817378841,57.77557817378841,59.016254234336536,59.016254234336536,63.29433136233514,63.29433136233514,64.9019135291709,78.30322078672228
11,74.85718702862543,74.85718702862543,75.13740476737796,75.13740476737796,76.99696782453374,76.99696782453374,81.04371235107621,81.04371235107621,82.00444034922891,96.08368329331087
12,88.69274437577772,88.69274437577772,88.8960222086183,88.8960222086183,89.1142712515277,89.1142712515277,93.87830411490118,,,109.43598351256908
13,96.06801177566824,96.06801177566824,96.34926428127545,96.34926428127545,97.20052409192208,97.20052409192208,100.62475344285588,,,115.65833888182277
14,99.79933925241492,99.79933925241492,99.9926606149983,99.9926606149983,100.42799166564603,100.42799166564603,103.85592834039569,103.85592834039569,105.22524545017612,119.08727042441747
15,103.62677504672607,103.62677504672607,103.90649624577433,103.90649624577433,106.43978522131222,106.43978522131222,109.8986960147462,109.8986960147462,110.67695526415702,125.11266713390813
16,107.71494512077686,107.71494512077686,107.96803450257669,107.96803450257669,109.6953816565075,109.6953816565075,114.50970805636707,114.50970805636707,115.91082718478066,129.53263515197557
17,117.20837665475688,117.20837665475688,117.45880595694388,117.45880595694388,117.57660886606136,117.57660886606136,120.7624808768399,120.7624808768399,122.13147881660294,137.95755463161092
18,151.81530135300522,151.81530135300522,152.1073199579833,152.1073199579833,152.4328884217601,152.4328884217601,156.69347396272292,156.69347396272292,158.18702911579842,171.77228630943435
19,165.00205462447252,165.00205462447252,165.2724353563837,165.2724353563837,165.96733160732802,165.96733160732802,169.42289684797618,169.42289684797618,170.10040455014243,184.58175808203458
20,167.1541027134342,167.1541027134342,167.3542489268828,167.3542489268828,167.70832370180443,167.70832370180443,171.9862015530098,171.9862015530098,172.8903241804997,187.09740951052999
21,169.1079787096586,169.1079787096586,169.3183763138686,169.3183763138686,169.48304567974736,169.48304567974736,173.85191934058813,173.85191934058813,174.89884733697292,189.17960465258025
22,172.56910802921803,172.56910802921803,172.8258564741749,172.8258564741749,172.86355525896096,172.86355525896096,177.13697319209746,177.13697319209746,178.17221034768517,192.6588339239608
23,177.28173419643383,177.28173419643383,177.46972510650352,177.46972510650352,178.1257948716201,178.1257948716201,181.96293220981184,181.96293220981184,182.55548610313903,197.38104723515664
24,178.7830208463512,178.7830208463512,178.97810320361882,178.97810320361882,179.38996991430457,179.38996991430457,182.71571677191213,182.71571677191213,183.72071155776263,198.13440327979163
25,179.0886532814223,179.0886532814223,179.30019377922227,179.30019377922227,179.45662311819467,179.45662311819467,183.0566136923456,183.0566136923456,183.8036564091853,198.19915532602923
26,199.00765366445458,199.00765366445458,199.2159576132326,199.2159576132326,199.34436662149486,199.34436662149486,202.15802285594592,202.15802285594592,202.8486240952319,217.87748996177916
27,202.91064846851643,202.91064846851643,203.17427177567222,203.17427177567222,205.04666674314467,205.04666674314467,208.98095426317084,208.98095426317084,210.1299119003291,224.12048470688984
28,204.04613109956907,204.04613109956907,204.18914166226617,204.18914166226617,206.54280763715556,206.54280763715556,211.26537487276542,211.26537487276542,212.25337558757906,226.72794327125692
29,212.35162191745397,212.35162191745397,212.49413617509373,212.49413617509373,214.09838507307973,214.09838507307973,217.6909923172104,217.6909923172104,218.33204054562657,232.93935303962905
30,226.09913166360298,226.09913166360298,226.33881723125197,226.33881723125197,227.64344682878428,227.64344682878428,231.82691864604465,231.82691864604465,232.73827242872656,247.69251628991924
31,228.40319823911585,228.40319823911585,228.67710193110773,228.67710193110773,229.57740753421942,229.57740753421942,234.08289855443945,234.08289855443945,234.63773092337394,249.13753862542794
32,235.6012031038813,235.6012031038813,235.81817684441637,235.81817684441637,238.61262703351056,238.61262703351056,243.1916491181447,,,258.30123787632573
34,254.72595976742394,254.72595976742394,254.95869388723426,254.95869388723426,255.8703986094898,255.8703986094898,260.177582857613,,,275.8187135359354
33,254.43024171367782,254.43024171367782,254.72911525296965,254.72911525296965,256.1709757899822,256.1709757899822,260.4284156302953,,,276.01995805673
35,255.16178197302267,255.16178197302267,255.4667065187548,255.4667065187548,256.37356958267867,256.37356958267867,260.1882268202983,260.1882268202983,261.2403400126645,276.0487724613452
36,260.7450599387282,260.7450599387282,260.9270309537484,260.9270309537484,261.27143502238977,261.27143502238977,265.0842284828055,,,280.4707480678371
37,260.81970988430817,260.81970988430817,260.985731601209,260.985731601209,264.03940809860774,264.03940809860774,267.17242790594065,267.17242790594065,268.239089467723,282.526466133334
38,263.0168314927472,263.0168314927472,263.33769871505814,263.33769871505814,264.28407917713554,264.28407917713554,267.8221755202101,,,282.86521552725435
39,264.67543714697126,264.67543714697126,264.9182330378181,264.9182330378181,265.77250095347546,265.77250095347546,270.3852374287489,,,286.1283072424129
41,274.19697157476077,274.19697157476077,274.52640613843636,274.52640613843636,274.5608157051431,274.5608157051431,277.77581869095894,,,292.8855744519804
40,274.15691214695505,274.15691214695505,274.3853557449039,274.3853557449039,274.65922729812615,274.65922729812615,278.7285728987523,,,294.69209274776307
42,279.0745201865398,279.0745201865398,279.31268891862527,279.31268891862527,280.5606743657997,280.5606743657997,284.7057982190837,284.7057982190837,285.7514441847373,300.0476126128327
43,283.32193402754933,283.32193402754933,283.52545639801923,283.52545639801923,283.6910382543416,283.6910382543416,287.33132676921434,287.33132676921434,287.62158045001127,302.38180499438806
44,284.46331647985716,284.46331647985716,284.7962112477573,284.7962112477573,285.8322186092844,285.8322186092844,289.56438080917883,,,305.89124838336863
45,286.27724977757805,286.27724977757805,286.4425391506295,286.4425391506295,286.9312768050455,286.9312768050455,291.47315803978205,291.47315803978205,292.4775494215528,306.4744973388381
46,286.8066285305249,286.8066285305249,286.9441033821982,286.9441033821982,287.6186245265365,287.6186245265365,292.03993618557575,292.03993618557575,292.9994024203844,307.9236503165124
47,288.16127624633106,288.16127624633106,288.3660872447807,288.3660872447807,288.9115025868914,288.9115025868914,292.6813445138105,292.6813445138105,293.5925721185949,308.116967314251
48,288.63051006698396,288.63051006698396,288.9997131064147,288.9997131064147,289.0504684777885,289.0504684777885,293.02226211454007,,,308.8275590749655
50,292.57830566566844,292.57830566566844,292.88508641402444,292.88508641402444,293.6180276494911,293.6180276494911,297.74443792520793,297.74443792520793,298.7061554162141,313.20212069658385
49,292.2291560687521,292.2291560687521,292.4625809781095,292.4625809781095,293.33860997933596,293.33860997933596,297.5763228464689,297.5763228464689,298.6333069323666,314.1417032345609
52,307.4154850950365,307.4154850950365,307.58081353662374,307.58081353662374,307.5914580752042,307.5914580752042,311.6450137520895,311.6450137520895,312.5775595525713,327.94110483490215
51,305.8409313138804,305.8409313138804,306.1473271514727,306.1473271514727,307.5458249480509,307.5458249480509,311.22693829613127,,,328.0195696238668
53,310.40283409523926,310.40283409523926,310.67605255489286,310.67605255489286,311.36559650320413,311.36559650320413,314.60472637322135,314.60472637322135,315.42814296943254,329.81430282565117
54,310.7337399181361,310.7337399181361,310.92122173772583,310.92122173772583,311.0103058756366,311.0103058756366,315.2455512312955,,,331.3756343821426
55,310.90554261247837,310.90554261247837,311.154982907516,311.154982907516,313.04740317807654,313.04740317807654,315.99085327433625,315.99085327433625,316.77809437911617,331.5050310302883
56,318.721330663035,318.721330663035,318.995474548578,318.995474548578,319.08565495804515,319.08565495804515,322.5109702203049,322.5109702203049,323.5323570253505,338.58653372782084
57,326.6720773667853,326.6720773667853,326.9601619601273,326.9601619601273,327.27884131808236,327.27884131808236,331.89053986402615,331.89053986402615,332.7041697337,347.2483410529722
58,329.03576434006146,329.03576434006146,329.2968021798032,329.2968021798032,329.7968233162594,329.7968233162594,334.011187856414,334.011187856414,334.978730602454,349.25763960099164
59,341.0127947688393,341.0127947688393,341.32011350249275,341.32011350249275,341.70240503886396,341.70240503886396,345.3904319414283,,,361.72142987436416
60,347.9611115437504,347.9611115437504,348.20927831024034,348.20927831024034,349.033046309463,349.033046309463,353.74121633495855,,,369.0590165356325
61,355.33410316332265,355.33410316332265,355.62916902649533,355.62916902649533,355.70024519957167,355.70024519957167,359.17719162513276,359.17719162513276,360.32129837393245,374.57071178146725
62,361.2014851181534,361.2014851181534,361.47264421489984,361.47264421489984,361.79835869999033,361.79835869999033,364.93539609742095,,,381.7954671588235
63,368.84242074270867,368.84242074270867,369.0827926627677,369.0827926627677,369.1620237244283,369.1620237244283,372.9774489190036,372.9774489190036,373.4968498149823,389.261100172635
64,375.57588179100077,375.57588179100077,375.8431467729243,375.8431467729243,376.44837233349523,376.44837233349523,381.1091902429735,381.1091902429735,381.8871361717448,396.3119831114082
65,376.6237705255274,376.6237705255274,376.88495120764924,376.88495120764924,377.51503501836396,377.51503501836396,381.8775429573158,,,397.6343839162563
66,389.29382849400247,389.29382849400247,389.5463571142497,389.5463571142497,391.4996385944273,391.4996385944273,395.74239353561615,,,410.813885933452
67,394.49067045938136,394.49067045938136,394.6807324362263,394.6807324362263,395.1352898717206,395.1352898717206,399.3652537804163,,,414.42325985696505
68,398.54931262964345,398.54931262964345,398.76851052373786,398.76851052373786,399.55682051438845,399.55682051438845,404.34302367964625,404.34302367964625,405.2594067625118,419.36827188869523
69,400.65729115363945,400.65729115363945,400.9199593709457,400.9199593709457,401.2052703022146,401.2052703022146,405.47771081576207,,,421.77746755791526
70,403.1538230967556,403.1538230967556,403.5010208327527,403.5010208327527,403.76262445160546,403.76262445160546,408.0619842125818,408.0619842125818,409.2130296194176,423.41589136393367
71,414.7567084714655,414.7567084714655,414.97362191699295,414.97362191699295,415.15410552150445,415.15410552150445,419.2420095198932,419.2420095198932,420.1917421580829,434.58349676042366
72,418.6646844609004,418.6646844609004,418.94636021788085,418.94636021788085,421.1729333367226,421.1729333367226,425.78178781165775,425.78178781165775,426.73631272215425,442.0594280872857
73,422.7163381881983,422.7163381881983,423.0174312663864,423.0174312663864,424.30311621315104,424.30311621315104,428.38195371416975,428.38195371416975,429.97052825746084,443.90218254362856
74,428.1452625830282,428.1452625830282,428.3319499970045,428.3319499970045,428.81605821961756,428.81605821961756,432.29087429400715,432.29087429400715,433.2293434702139,447.54340841114725
75,451.28316733278405,451.28316733278405,451.6475350078119,451.6475350078119,453.3401537216582,453.3401537216582,457.3748384953342,457.3748384953342,458.0006765004772,472.38527106237905
77,458.57889002768746,458.57889002768746,458.8957034079306,458.8957034079306,459.47431356138406,459.47431356138406,463.2065469744617,,,479.1420791527401
76,457.876083425319,457.876083425319,458.15237897707925,458.15237897707925,459.5227027863549,459.5227027863549,463.8012200289997,463.8012200289997,464.60015884365674,479.8018054067174
78,480.2063550820397,480.2063550820397,480.43990107494943,480.43990107494943,481.3638770030273,481.3638770030273,485.1983288675705,485.1983288675705,486.26982801219947,500.818058360714
79,481.8093038785561,481.8093038785561,482.03699192408504,482.03699192408504,482.7425313898606,482.7425313898606,487.0513301731043,487.0513301731043,488.4205191499147,502.6417378286205
80,482.01997707287603,482.01997707287603,482.358708355232,482.358708355232,483.6572661294045,483.6572661294045,487.90152773446226,,,503.09125552088983
81,492.1105710623542,492.1105710623542,492.3206602424973,492.3206602424973,493.6534043296887,493.6534043296887,497.6816844643804,497.6816844643804,498.8900747214461,512.6920401804143
82,496.98378331752303,496.98378331752303,497.21248855363,497.21248855363,497.3808735148535,497.3808735148535,501.607216368937,,,516.6736090748635
83,500.1518783599552,500.1518783599552,500.42710772630795,500.42710772630795,501.9781637839261,501.9781637839261,505.90150103107226,505.90150103107226,506.7482097929849,521.2309822993444
84,510.16078165570485,510.16078165570485,510.5037379473188,510.5037379473188,510.9713518543053,510.9713518543053,514.5018272364238,514.5018272364238,515.6651521462949,530.1485464946396
85,516.5720871317607,516.5720871317607,516.7904381458172,516.7904381458172,517.4320212962587,517.4320212962587,521.3789285911082,,,538.4982617748266
86,525.9036810957109,525.9036810957109,526.1617400447439,526.1617400447439,526.3770071134534,526.3770071134534,530.4321945688009,,,546.2922635289871
87,532.5970031405519,532.5970031405519,532.8775190449984,532.8775190449984,533.2975519195111,533.2975519195111,537.1254428713114,537.1254428713114,538.3111395326564,553.5047539602383
88,538.3817750174298,538.3817750174298,538.6744729411329,538.6744729411329,539.1782730715953,539.1782730715953,543.023567937277,,,558.9059212100897
89,540.4672568378982,540.4672568378982,540.6223267280506,540.6223267280506,542.1187579782576,542.1187579782576,546.3666861108592,,,561.4916819360182
90,545.3375433496482,545.3375433496482,545.652744458957,545.652744458957,546.6252541586418,546.6252541586418,550.6923192949174,550.6923192949174,551.7648966761531,565.9159398064515
91,546.8984312678854,546.8984312678854,547.2320301011518,547.2320301011518,547.2461142382662,547.2461142382662,550.9809361660783,,,566.5709404738528
92,547.9412641180638,547.9412641180638,548.2347222991308,548.2347222991308,549.3235997943927,549.3235997943927,552.7482696707349,552.7482696707349,554.1893708293663,568.5372771879685
93,552.4564888330171,552.4564888330171,552.7157083246022,552.7157083246022,552.912778278348,552.912778278348,556.8802542733341,,,572.1063941215309
95,585.5233693995666,585.5233693995666,585.8297018811189,585.8297018811189,585.8757101203561,585.8757101203561,589.5436666381074,,,605.0645268923404
94,584.9076565475315,584.9076565475315,585.2114822915229,585.2114822915229,585.7922475035093,585.7922475035093,589.8149836808317,589.8149836808317,590.9630421609334,605.5427049583117
96,592.8970054968685,592.8970054968685,593.1513486578687,593.1513486578687,593.2520453369503,593.2520453369503,597.037080991793,597.037080991793,598.016248702712,612.2371123920152
97,610.0914582243006,610.0914582243006,610.337361919868,610.337361919868,613.0825145273199,613.0825145273199,616.6502103511422,,,632.4253279014276
98,615.0788263888029,615.0788263888029,615.3276229180459,615.3276229180459,619.8439076961814,619.8439076961814,624.4851660437716,624.4851660437716,625.0002728584772,639.9774313805412
99,619.6292603589633,619.6292603589633,619.7977130360274,619.7977130360274,621.7008987459262,621.7008987459262,625.802661358973,625.802661358973,626.484466044134,640.8302085572742
100,627.9359415635096,627.9359415635096,628.2887705332005,628.2887705332005,628.555613805438,628.555613805438,632.2372002492102,632.2372002492102,633.3185700134975,647.8933649364084
102,632.7357894848387,632.7357894848387,632.9243994567024,632.9243994567024,633.681304922531,633.681304922531,637.9291752176323,,,652.9894112842925
101,630.9354056594058,630.9354056594058,631.1648062103783,631.1648062103783,632.1073034527171,632.1073034527171,635.8618154284171,635.8618154284171,637.3043288800881,653.4181156467718
103,635.4997637986081,635.4997637986081,635.8518748531179,635.8518748531179,636.604325293322,636.604325293322,640.6117379413496,,,655.7322645563812
104,636.3897897638003,636.3897897638003,636.6155874458807,636.6155874458807,639.0127509779519,639.0127509779519,642.6969976466859,,,658.7442325934737
106,639.0511257942404,639.0511257942404,639.3570913791523,639.3570913791523,640.1676145956816,640.1676145956816,643.5384589469612,643.5384589469612,644.6006530218428,659.0038481979537
105,638.6000105114763,638.6000105114763,638.8672622923045,638.8672622923045,640.1085766428914,640.1085766428914,643.6602694551025,643.6602694551025,644.5016869430401,660.0411988584748
108,647.2601621644371,647.2601621644371,647.5902011395191,647.5902011395191,648.2494549255811,648.2494549255811,651.613459159698,,,666.8936035719753
107,646.2932232592957,646.2932232592957,646.5342978405,646.5342978405,648.2377946787952,648.2377946787952,651.966981332766,651.966981332766,653.2715391186279,667.0992131211281
109,657.5351471449969,657.5351471449969,657.7117979518883,657.7117979518883,660.1891441091996,660.1891441091996,664.415568343819,664.415568343819,665.9430867912358,679.6911795451223
110,682.6475066271956,682.6475066271956,682.8134708663722,682.8134708663722,683.2046452276378,683.2046452276378,687.7556962053777,687.7556962053777,688.697971992807,704.255676819286
112,686.8528793693218,686.8528793693218,687.1580155932281,687.1580155932281,687.6350281673649,687.6350281673649,690.8813529518474,690.8813529518474,691.8868738697361,706.3318128192411
113,688.6145764720212,688.6145764720212,688.7496088224034,688.7496088224034,688.9907094499273,688.9907094499273,692.0724974461252,692.0724974461252,692.71761935966,707.2471141188744
111,686.3598174936149,686.3598174936149,686.582040343959,686.582040343959,689.8313895366989,689.8313895366989,693.477175426073,,,708.9850519953445
114,696.9010343656719,696.9010343656719,697.1254934288323,697.1254934288323,697.6235921102491,697.6235921102491,702.800062499206,,,718.0652175569987
115,712.9057563930844,712.9057563930844,713.1804878756193,713.1804878756193,713.4092447443236,713.4092447443236,717.5540238732896,717.5540238732896,718.1707152896245,732.6126011084087
